#At time x allocated y bytes for process z from i to j
At time 0 allocated 200 bytes for process 1 from 0 to 255
At time 1 allocated 120 bytes for process 2 from 256 to 383
At time 3 allocated 170 bytes for process 3 from 512 to 767
At time 7 freed 200 bytes from process 1 from 0 to 255
At time 9 freed 120 bytes from process 2 from 256 to 383
At time 9 allocated 150 bytes for process 4 from 768 to 1023
At time 12 allocated 250 bytes for process 5 from 0 to 255
At time 13 freed 170 bytes from process 3 from 512 to 767
At time 18 freed 250 bytes from process 5 from 0 to 255
At time 21 freed 150 bytes from process 4 from 768 to 1023
